<<<<<<< HEAD
,Website,Domain,Comments
1124,Novinite,novinite.com,"least_biased, "
1125,Now8News,now8news.com,"satire, imposter site, fake, "
1126,Now the End Begins,nowtheendbegins.com,"pseudoscience, conspiracy, "
1127,NowThis News,nowthisnews.com,"left, "
1128,National Policy Institute,npiamerica.org,"questionable, "
1129,npiamerica,npiamerica.org,", hate, bias, white supremacist think tank"
1130,NPR,npr.org/sections/news,"left_center, "
1131,Numbers USA,numbersusa.com,"right, "
1132,nutritionalanarchy,nutritionalanarchy.com,", unreliable, "
1133,nutritionfacts,nutritionfacts.org,", reliable, I read through several articles and the sources cited, and appears ok (maybe sometimes a little sensational... so if anyone has specific knowledge of this site and/or good examples of problems, feel free to link them here)"
1134,New York Daily News,nydailynews.com,"left_center, "
1135,New York Magazine,nymag.com,"left, "
1136,nymeta,nymeta.co,", clickbait, satire, Entertainment website"
1137,New York Post,nypost.com,"right_center, "
1138,New York Times,nytimes.com,"left_center, "
1139,oann,oann.com,", political, reliable, "
1140,One America News Network,oann.com,"right, "
1141,objectiveministries,objectiveministries.org,", satire, "
1142,The Observatory,observatory.journalism.wisc.edu,"least_biased, "
1143,New York Observer,observer.com,"right, "
1144,observer,observer.com,", political, vacillates between some pieces that are ""bias"" and others that are ""reliable"""
1145,occupy,occupy.com,", political, "
1146,Occupy Democrats,occupydemocrats.com,"questionable, fake news, clickbait, bias, unreliable, "
1147,occupyliberals,occupyliberals.com,", bias, clickbait, "
1148,Orange County Register,ocregister.com,"right_center, "
1149,off-guardian,off-guardian.org,", bias, conspiracy, "
1150,oftwominds,oftwominds.com,", bias, conspiracy, "
1151,Akron Beacon Journal,ohio.com,"left_center, "
1152,oilgeopolitics,oilgeopolitics.net,", conspiracy, "
1153,Oil Price,oilprice.com,"right_center, "
1154,The Oklahoman,oklahoman.com/live,"right_center, "
1155,Omaha World Herald,omaha.com,"right_center, "
1156,OneNewsNow,onenewsnow.com,"right, "
1157,onepoliticalplaza,onepoliticalplaza.com,", fake news, fake, "
1158,Online Conservative Press,onlineconservativepress.com,"questionable, fake, conspiracy, bias, "
1159,Political Psychology Journal,onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9221,"pro_science, "
1160,OpEdNews (OEN),opednews.com,"left, "
1161,openDemocracy,opendemocracy.net,"left_center, "
1162,openmagazines,openmagazines.com,", fake news, fake, "
1163,openmindmagazine,openmindmagazine.com,", bias, conspiracy, "
1164,Center For Responsive Politics,opensecrets.org,"least_biased, "
1165,Open the Government,openthegovernment.org,"least_biased, "
1166,Opposing Views,opposingviews.com,"left_center, "
1167,Opposition Report,oppositionreport.com,"questionable, "
1168,Oregonian,oregonlive.com/#/0,"right_center, "
1169,orientalreview,orientalreview.org,", bias, conspiracy, "
1170,Orlando Sentinel,orlandosentinel.com,"right_center, "
1171,other98,other98.com,", clickbait, bias, unreliable, "
1172,Our Eye on Islam,oureyeonislam.com,"questionable, "
1173,The Out and Abouter,outabouter.com,"satire, "
1174,The Outlook (Monmouth University),outlook.monmouth.edu,"least_biased, "
1175,Overpasses for America,overpassesforamerica.com,"questionable, "
1176,Ozy Media,ozy.com,"left_center, "
1177,Pacific Research Institute,pacificresearch.org/home,"right_center, "
1178,Pak Alert Press,pakalertpress.com,"pseudoscience, fake, "
1179,Palmer Report,palmerreport.com,"left, bias, "
1180,pamelageller,pamelageller.com,", conspiracy, fake, bias, "
1181,PanAm Post,panampost.com,"left_center, "
1182,Paste Magazine,pastemagazine.com,"left, "
1183,patdollar,patdollar.com,", bias, clickbait, "
1184,Patheos,patheos.com,"least_biased, "
1185,patriotchronicle,patriotchronicle.com,", bias, clickbait, "
1186,Patriot Fires,patriotfires.com,"questionable, "
1187,Patriot Hangout,patriothangout.com,"questionable, "
1188,Patriotic Viral News,patrioticviralnews.com,"questionable, "
1189,patriotnewsdaily,patriotnewsdaily.com,", satire, "
1190,The Patriot Post,patriotpost.us,"right, "
1191,patriotrising,patriotrising.com,", bias, conspiracy, "
1192,Patriot Update,patriotupdate.com,"questionable, bias, conspiracy, "
1193,paulcraigroberts,paulcraigroberts.org,", bias, conspiracy, ex: http://www.paulcraigroberts.org/2016/12/10/has-liberty-departed-from-america-paul-craig-roberts/"
1194,PBS News Hour,pbs.org/newshour,"left_center, "
1195,The Press-Enterprise,pe.com,"right_center, "
1196,Peninsula Daily News,peninsuladailynews.com,"right_center, "
1197,The Patriot-News,pennlive.com,"left_center, "
1198,People Magazine,people.com/politics,"left, "
1199,Personal Liberty,personalliberty.com,"questionable, "
1200,Pew Research,pewresearch.org,"least_biased, "
1201,Peterson Foundation,pgpf.org,"least_biased, "
1202,Philadelphia Inquirer,philly.com/inquirer,"left_center, "
1203,The Phnom Penh Post,phnompenhpost.com,"least_biased, "
1204,Phys.org,phys.org,"pro_science, "
1205,Pink News,pinknews.co.uk/home,"left, "
1206,Places Journal,placesjournal.org,"least_biased, "
1207,platosguns,platosguns.com,", bias, conspiracy, bias, "
1208,Plymouth Patriot Post,plymouthpatriotpost.com,"questionable, "
1209,PM Nightly News,pmnightlynews.com,"questionable, "
1210,Proceedings of the National Academy of Sciences of the United States of America (PNAS),pnas.org,"pro_science, "
1211,Political Blind Spot,politicalblindspot.com,"pseudoscience, conspiracy, junksci, ex: vaccines are a way for the CIA to spy on us"
1212,Political Critique,politicalcritique.org,"left_center, "
1213,politicalcult,politicalcult.com,", bias, clickbait, conspiracy, "
1214,Political Ears,politicalears.com,"questionable, unreliable, clickbait, "
1215,The Political Garbage Chute,politicalgarbagechute.com,"satire, "
1216,politicalo,politicalo.com,", parody site, fake, "
1217,politicalsitenews,politicalsitenews.com,", fake, "
1218,Political Storm,politicalstorm.com,"least_biased, "
1219,Political Updater,politicalupdator.com,"left, fake, clickbait, bias, "
1220,politicass,politicass.com,", parody site, "
1221,Politichicks,politichicks.com,"right, "
1222,Politico,politico.com,"left_center, "
1223,Politico Info,politicoinfo.com,"questionable, "
1224,politicono,politicono.com,", parody site, fake, "
1225,politicops,politicops.com,", parody site, satire, fake, redirects to Newslo"
1226,politicot,politicot.com,", parody site, satire, fake, redirects to Newslo"
1227,politicsintheusa,politicsintheusa.com,", unreliable, bias, "
1228,Politics That Work,politicsthatwork.com,"left_center, "
1229,politicsusanews,politicsusanews.com,", fake news, fake, "
1230,Politicususa,politicususa.com,"left, clickbait, unreliable, "
1231,Politifact,politifact.com,"least_biased, "
1232,pollhype,pollhype.com,", rumor, clickbait, bias, "
1233,Polygraph.info,polygraph.info,"least_biased, "
1234,Popular Science,popsci.com,"pro_science, "
1235,Popular Mechanics,popularmechanics.com,"pro_science, "
1236,Pittsburgh Post-Gazette,post-gazette.com,"left_center, "
1237,Post-Bulletin,postbulletin.com,"right_center, "
1238,Power Line,powerlineblog.com,"right, "
1239,powerpoliticians,powerpoliticians.com,", unreliable, "
1240,Poynter Institute,poynter.org,"least_biased, "
1241,pravda.ru,pravda.ru,", bias, rumor, conspiracy, "
1242,Pravda Report,pravdareport.com,"left, bias, rumor, conspiracy, redirects to pravda.ru"
1243,prepperwebsite,prepperwebsite.com,", conspiracy, fake, "
1244,president45donaldtrump,president45donaldtrump.com,", fake news, fake, "
1245,presidentialvoting2016,presidentialvoting2016.com,", political, bias, unreliable, "
1246,Portland Press-Herald,pressherald.com,"left_center, "
1247,Press Progress,pressprogress.ca,"left, "
1248,Press TV,presstv.com,"left_center, bias, unreliable, "
1249,presstv.ir,presstv.ir,", bias, unreliable, redirects to presstv.com"
1250,Public Radio International (PRI),pri.org,"left_center, "
1251,Global Post,pri.org/programs/globalpost,"left_center, "
1252,Prison Planet,prisonplanet.com,"pseudoscience, conspiracy, "
1253,Private Eye,private-eye.co.uk,"satire, "
1254,Prntly,prntly.com,"questionable, fake news, fake, "
1255,Pro-America News,proamericanews.com,"questionable, fake, "
1256,The Progressive,progressive.org,"left, "
1257,Progress Tribune,progresstribune.com,"questionable, "
1258,Project Veritas,projectveritas.com,"right, bias, unreliable, political, "
1259,Prophecy Today,prophecytoday.com,"pseudoscience, "
1260,Prop or Not,propornot.com/p/home.html,"pseudoscience, "
1261,Propublica,propublica.org,"left_center, "
1262,The American Prospect,prospect.org,"left, "
1263,Prospect Magazine,prospectmagazine.co.uk,"left_center, "
1264,Proud Patriots,proud-patriots.com,"questionable, "
1265,proudcons,proudcons.com,", fake, bias, "
1266,Proud Democrat,proudemocrat.com,"left, political, "
1267,Proud Leader,proudleader.com,"questionable, fake news, "
1268,Public Religion Research Institute (PRRI),prri.org,"least_biased, "
1269,Psychology Today,psychologytoday.com,"pro_science, "
1270,Psypost,psypost.org,"pro_science, "
1271,World Meteorological Organization,public.wmo.int,"pro_science, "
1272,Center For Public Integrity,publicintegrity.org,"least_biased, "
1273,Public Interest Legal Foundation,publicinterestlegal.org,"right_center, "
1274,Public Policy Polling (PPP),publicpolicypolling.com,"least_biased, "
1275,PunchingBag Post,punchingbagpost.com,"right_center, "
1276,PutinTrump.org,putintrump.org,"left_center, "
1277,QPolitical,qpolitical.com,"questionable, bias, clickbait, junksci, "
1278,Quackwatch,quackwatch.org,"pro_science, "
1279,Quartz,qz.com,"left_center, "
1280,Rabble.ca,rabble.ca,"left, "
1281,Rappler,rappler.com,"left, "
1282,Rare,rare.com,"right_center, "
1283,RationalWiki,rationalwiki.org/wiki/Main_Page,"left_center, "
1284,rawforbeauty,rawforbeauty.com,", junksci, "
1285,Raw Progressive,rawprogressive.com,"left, "
1286,Raw Story,rawstory.com,"left, political, clickbait, "
1287,React 365,react365.com,"questionable, fake, fake news generator for pranking friends"
1288,readconservatives.news,readconservatives.news,", fake news, bias, fake, clickbait, "
1289,Reagan Coalition,reagancoalition.com,"questionable, bias, fake, clickbait, "
1290,Real Clear Defense,realcleardefense.com,"right_center, "
1291,Real Clear Investigations,realclearinvestigations.com,"right_center, "
1292,Real Clear Politics,realclearpolitics.com,"right_center, "
1293,Real Clear Science,realclearscience.com,"pro_science, "
1294,RealFarmacy,realfarmacy.com,"pseudoscience, junksci, conspiracy, "
1295,Real Jew News,realjewnews.com,"pseudoscience, "
1296,Real News Right Now,realnewsrightnow.com,"satire, parody site, fake, satire, "
1297,realplanetnews,realplanetnews.com,", junksci, "
1298,Real Time Politics,realtimepolitics.com,"questionable, bias, unreliable, "
1299,Reason,reason.com,"right_center, "
1300,Red Alert Politics,redalertpolitics.com,"right, "
1301,Red Country,redcountry.us,"questionable, fake news, fake, "
1302,Red Flag News,redflagnews.com,"right, bias, conspiracy, unreliable, "
1303,redinfo.us,redinfo.us,", fake news, "
1304,RedOrbit,redorbit.com,"pro_science, "
1305,Redoubt News,redoubtnews.com,"pseudoscience, "
1306,Red People,redpeople.us,"questionable, "
1307,Red Pepper,redpepper.org.uk,"left, "
1308,Red Rock Daily News,redrockdaily.com,"questionable, "
1309,redrocktribune,redrocktribune.com,", imposter site, fake, "
1310,Red State,redstate.com,"right, political, clickbait, "
1311,Red State Watcher,redstatewatcher.com,"right, bias, clickbait, "
1312,Reductress,reductress.com,"satire, satire, "
1313,"Red, White and Right",redwhiteandright.com,"questionable, "
1314,Reflection of Mind,reflectionofmind.org,"pseudoscience, "
1315,regated,regated.com,", bias, "
1316,Regated News,regated.com,"right, "
1317,religionlo,religionlo.com,", parody site, satire, "
1318,religionmind,religionmind.com,", fake news, fake, "
1319,remedydaily,remedydaily.com,", clickbait, "
1320,Rense,rense.com,"pseudoscience, conspiracy, junksci, "
1321,Waterbury Republican-American,rep-am.com,"right_center, "
1322,Reporters Lab,reporterslab.org,"least_biased, "
1323,Represent.us,represent.us,"least_biased, "
1324,International Rescue Committee,rescue.org,"least_biased, "
1325,Resistance Media,resistancemedia.org,"right, "
1326,Natural Resource Governance Institute,resourcegovernance.org,"left_center, "
1327,Institute for Responsible Technology,responsibletechnology.org,"pseudoscience, "
1328,responsibletechnology,responsibletechnology.org,", junksci, "
1329,Retraction Watch,retractionwatch.com,"pro_science, "
1330,Return of Kings,returnofkings.com,"questionable, hate, "
1331,Reuters,reuters.com,"least_biased, "
1332,Revcom.us,revcom.us,"left, "
1333,Reverb Press,reverbpress.com,"left, "
1334,Las Vegas Review Journal,reviewjournal.com,"right_center, "
1335,Revolution News,revolution-news.com,"left, "
1336,revolutions2040,revolutions2040.com,", junksci, clickbait, "
1337,Rewire,rewire.news,"left, "
1338,Radio Free Asia,rfa.org/english,"left_center, "
1339,rhotv,rhotv.com,", fake, "
1340,Richmond Times-Dispatch,richmond.com,"right_center, "
1341,Constitution Rising,rickwells.us,"questionable, "
1342,rickwells.us,rickwells.us,", fake, conspiracy, "
1343,rightalert,rightalert.com,", bias, unreliable, "
1344,Right Journalist,rightjournalist.com,"questionable, "
1345,Right Side News,rightsidenews.com,"questionable, "
1346,Right Smarts,rightsmarts.com,"questionable, "
1347,Right Wing News,rightwingnews.com,"questionable, bias, unreliable, "
1348,Right Wing Watch,rightwingwatch.org,"left, "
1349,Rile News,rilenews.com,"satire, fake, satire, "
1350,rinf,rinf.com,", political, "
1351,RiverBender.com,riverbender.com,"least_biased, "
1352,Roanoke Times,roanoke.com,"left_center, "
1353,Rock City Times,rockcitytimes.com,"satire, satire, "
1354,rogue-nation3,rogue-nation3.com,", fake news, fake, "
1355,Roll Call,rollcall.com,"least_biased, "
1356,Rolling Stone,rollingstone.com,"left_center, "
1357,The Ron Paul Institute,ronpaulinstitute.org,"right, political, "
1358,Ron Paul Liberty Report,ronpaullibertyreport.com,"right, "
1359,Roosevelt Institute,rooseveltinstitute.org,"left_center, "
1360,rt,rt.com,", state, "
1361,RT News,rt.com/news,"right_center, "
1362,Rudaw,rudaw.net/english,"left_center, "
1363,rumorjournal,rumorjournal.com,", fake news, fake, "
1364,rumormillnews,rumormillnews.com,", conspiracy, junksci, rumor, "
1365,ruptly,ruptly.tv,", political, owned by RT"
1366,Russia Insider,russia-insider.com,"right_center, bias, clickbait, "
1367,Sacramento Bee,sacbee.com,"left_center, "
1368,Salon,salon.com,"left, "
1369,Liberals Unite (Samuel Warde),samuel-warde.com,"left, "
1370,San Diego Union Tribune,sandiegouniontribune.com,"right_center, "
1371,Satira Tribune,satiratribune.com,"satire, parody site, satire, "
1372,satirewire,satirewire.com,", satire, "
1373,Special Broadcasting Service (SBS),sbs.com.au,"left_center, "
1374,Scary Mommy,scarymommy.com,"left, "
1375,SciCentral,scicentral.com,"pro_science, "
1376,ScienceAlert,sciencealert.com,"pro_science, "
1377,Science Based Medicine,sciencebasedmedicine.org,"pro_science, "
1378,ScienceBlogs,scienceblogs.com,"pro_science, "
1379,Science Daily,sciencedaily.com,"pro_science, "
1380,Science Debate,sciencedebate.org,"least_biased, "
1381,ScienceDirect,sciencedirect.com,"pro_science, "
1382,Science Magazine,sciencemag.org,"pro_science, "
1383,Science News,sciencenews.org,"pro_science, "
1384,Science Vibe,sciencevibe.com,"pseudoscience, "
1385,Scientific American,scientificamerican.com,"pro_science, "
1386,Scoopnest,scoopnest.com,"least_biased, "
1387,Scoopwhoop,scoopwhoop.com,"left_center, "
1388,Scorched Earth News,scorchedearthnews.com,"satire, "
1389,SCOTUSblog,scotusblog.com,"least_biased, "
1390,scrappleface,scrappleface.com,", satire, "
1391,Seattle Post-Intelligencer,seattlepi.com,"left_center, "
1392,Seattle Times,seattletimes.com,"left_center, "
1393,Second Nexus,secondnexus.com,"left_center, "
1394,Secrets of the Fed,secretsofthefed.com,"pseudoscience, conspiracy, junksci, "
1395,Secure America Now,secureamericanow.org,"right, "
1396,Seeker Daily,seeker.com,"pro_science, "
1397,sensationalisttimes,sensationalisttimes.com,", satire, "
1398,sentinelblog,sentinelblog.com,", conspiracy, junksci, "
1399,San Francisco Chronicle,sfchronicle.com,"left_center, "
1400,SFGate,sfgate.com,"left_center, "
1401,Shareblue,shareblue.com,"left, unreliable, political, bias, My analysis is similar to this site: https://mediabiasfactcheck.com/shareblue/"
1402,Sheep Killers,sheepkillers.com,"pseudoscience, conspiracy, junksci, "
1403,Shoebat,shoebat.com,"pseudoscience, conspiracy, bias, "
1404,SHTFplan.com,shtfplan.com,"questionable, "
1405,Silence is Consent,silenceisconsent.net,"right, "
1406,Staten Island Advance,silive.com,"left_center, "
1407,silver-coin-investor. com,silver-coin-investor. com,", conspiracy, bias, unreliable, "
1408,silverbearcafe,silverbearcafe.com,", conspiracy, "
1409,silverdoctors,silverdoctors.com,", conspiracy, bias, "
1410,silverstealers,silverstealers.net,", conspiracy, "
1411,Stillness in the Storm,sitsshow.blogspot.com,"pseudoscience, "
1412,sjlendman.blogspot,sjlendman.blogspot.com,", bias, "
1413,Skeptic Magazine,skeptic.com,"pro_science, "
1414,Skeptical Science,skepticalscience.com,"pro_science, "
1415,Skeptic Ink,skepticink.com,"pro_science, "
1416,Australian Skeptics Inc.,skeptics.com.au,"pro_science, "
1417,Skeptiko,skeptiko.com,"pseudoscience, conspiracy, junksci, "
1418,Skeptoid,skeptoid.com,"pro_science, "
1419,Sky and Telescope,skyandtelescope.com,"pro_science, "
1420,Slate,slate.com,"left, "
1421,Salt Lake Tribune,sltrib.com,"left_center, "
1422,smag31,smag31.com,", some fake stories, fake, unreliable, "
1423,The Sydney Morning Herald,smh.com.au,"left_center, "
1424,Smithsonian Magazine,smithsonianmag.com,"pro_science, "
1425,Snopes,snopes.com,"least_biased, "
1426,The Middle East in London,soas.ac.uk/lmei/meil,"least_biased, "
1427,socialeverythings,socialeverythings.com,", fake news, fake, "
1428,Society for Science,societyforscience.org,"pro_science, "
1429,SOFREP,sofrep.com,"right_center, "
1430,Sojourners (Soho),sojo.net,"left_center, "
1431,sonsoflibertyradio,sonsoflibertyradio.com,", conspiracy, bias, unreliable, "
1432,SooToday.com,sootoday.com,"left_center, "
1433,SourceWatch,sourcewatch.org/index.php/SourceWatch,"left, "
1434,southernconservativeextra,southernconservativeextra.com,", fake news, "
1435,South Front,southfront.org,"pseudoscience, "
1436,South Jersey Mechanic (Trump News),southjerseymechanic.com,"questionable, "
1437,sovereignman,sovereignman.com,", unreliable, "
1438,Space.com,space.com,"pro_science, "
1439,The Spectator (UK),spectator.co.uk,"right_center, "
1440,American Spectator,spectator.org,"right, "
1441,speld,speld.nl,", satire, "
1442,Spiegel Online,spiegel.de/international,"left_center, "
1443,Spiked Magazine,spiked-online.com,"right, "
1444,spinzon,spinzon.com,", fake news, "
1445,Southern Poverty Law Center,splcenter.org,"left_center, "
1446,Sports Pickle,sportspickle.com,"satire, satire, "
1447,Sputnik News,sputniknews.com,"right_center, bias, state, fake, "
1448,Salem Radio Network News (SRN News),srnnews.com,"right_center, "
1449,Star-Telegram,star-telegram.com,"right_center, "
1450,Honolulu Star-Advertiser,staradvertiser.com,"left_center, "
1451,Minneapolis Star Tribune,startribune.com,"left_center, "
1452,states-tv,states-tv.com,", fake news, "
1453,Statesman Journal,statesmanjournal.com,"right_center, "
1454,STAT (News),statnews.com,"least_biased, "
1455,Stimson Center,stimson.org,"least_biased, "
1456,St. Louis Post-Dispatch,stltoday.com,"left_center, "
1457,stneotscitizen,stneotscitizen.com,", satire, "
1458,Stock News USA,stocknewsusa.com,"least_biased, "
1459,StopFake,stopfake.org,"left_center, "
1460,Storm Clouds Gathering,stormcloudsgathering.com,"pseudoscience, fake, "
1461,StormFront,stormfront.org/forum/blogs/recent-entries,"pseudoscience, "
1462,St. Pete for Peace,stpete4peace.org,"left, "
1463,Strategic Culture Foundation,strategic-culture.org,"right_center, "
1464,Stratfor,stratfor.com,"least_biased, "
1465,The Stream,stream.org,"pseudoscience, "
1466,Stars and Stripes,stripes.com,"least_biased, "
1467,Stubhill News,stubhillnews.com,"satire, "
1468,Student Daily News,studentnewsdaily.com,"right_center, "
1469,Stuppid,stuppid.com,"satire, satire, "
1470,Subject Politics,subjectpolitics.com,"questionable, fake, bias, "
1471,success-street,success-street.com,", fake news, fake, clickbait, "
1472,South Florida Sun-Sentinel,sun-sentinel.com,"right_center, "
1473,Sunday Sport,sundaysportonline.co.uk,"satire, "
1474,Sungress,sungress.com,"satire, "
1475,Sunlight Foundation,sunlightfoundation.com,"least_biased, "
1476,Supreme Patriot,supremepatriot.com,"questionable, fake news, fake, bias, "
1477,Sure News,surenews.com,"questionable, "
1478,surrealscoop,surrealscoop.com,", satire, "
1479,Sustainable Pulse,sustainablepulse.com,"pseudoscience, "
1480,TD Newswire,swampdrain.com,"questionable, "
1481,The Swedish Wire,swedishwire.com,"least_biased, "
1482,Syrian Observatory for Human Rights (SOHR),syriahr.com/en,"left_center, "
1483,Syria News,syrianews.com,"questionable, "
1484,TakePart,takepart.com,"left, "
1485,Talking Points Memo,talkingpointsmemo.com,"left, "
1486,Tallahassee Democrat,tallahassee.com,"right_center, "
1487,Tampa Bay Times,tampabay.com,"left_center, "
1488,Task and Purpose,taskandpurpose.com,"least_biased, "
1489,Russian News Agency-TASS,tass.com,"right_center, "
1490,Tax Foundation,taxfoundation.org,"right_center, "
1491,Tampa Tribune,tbo.com,"right_center, "
1492,The Century Foundation,tcf.org,"left_center, "
1493,tdtalliance,tdtalliance.com,", fake news, fake, "
1494,teaparty,teaparty.org,", some fake stories, fake, unreliable, "
1495,Tea Party Inc.,teaparty.org,"questionable, "
1496,Tea Party Patriots,teapartypatriots.org,"right, "
1497,Tea Party Tribune,teapartytribune.com,"right, "
1498,MIT Technology Review,technologyreview.com,"pro_science, "
1499,TechXplore,techxplore.com,"pro_science, "
1500,Teddy Stick,teddystick.com,"questionable, "
1501,TeleSUR,telesurtv.net/english,"left, "
1502,The Tennessean,tennessean.com,"right_center, "
1503,Texas Tribune,texastribune.org,"least_biased, "
1504,Tharawat Magazine,tharawat-magazine.com/#gs.a9CcWpc,"right_center, "
1505,thatviralfeed,thatviralfeed.net,", some fake stories, fake, unreliable, "
1506,The American Interest,the-american-interest.com,"right_center, "
1507,The Daily Buzz,the-daily.buzz,"left, "
1508,the-insider,the-insider.co,", fake news, fake, "
1509,The Japan News,the-japan-news.com,"right_center, "
1510,The Postillion,the-postillon.com,"satire, parody site, "
1511,The Age (Australia),theage.com.au,"left_center, "
1512,The American Cause,theamericancause.org,"right, "
1513,The American Conservative,theamericanconservative.com,"right_center, "
1514,theamericanindependent.wordpress,theamericanindependent.wordpress.com,", fake, bias, "
1515,The American Mirror,theamericanmirror.com,"questionable, "
1516,The Anti-Media,theantimedia.org,"pseudoscience, unreliable, bias, conspiracy, ex: http://theantimedia.org/cdc-admits-ebola-airborne/"
1517,The Australian,theaustralian.com.au,"right_center, "
1518,The Baffler,thebaffler.com,"left_center, "
1519,The Beaverton,thebeaverton.com,"satire, satire, "
1520,thebigriddle,thebigriddle.com,", some fake stories, fake, "
1521,The Blacksphere,theblacksphere.net,"right, "
1522,The Blaze,theblaze.com,"right, political, clickbait, "
1523,Bulletin of the Atomic Scientists,thebulletin.org,"least_biased, "
1524,The Bureau of Investigative Journalism,thebureauinvestigates.com,"least_biased, "
1525,The Canary (UK),thecanary.co,"left, "
1526,The Christian Left,thechristianleft.org,"left_center, "
1527,The College Fix,thecollegefix.com,"right, "
1528,The Common Sense Show,thecommonsenseshow.com,"pseudoscience, fake, conspiracy, "
1529,The Controversial Files,thecontroversialfiles.net,"pseudoscience, fake, clickbait, "
1530,The Conversation,theconversation.com/us,"least_biased, "
1531,The Daily Banter,thedailybanter.com,"left, "
1532,Daily Beast,thedailybeast.com,"left, political, "
1533,The Daily Mash,thedailymash.co.uk,"satire, satire, "
1534,The Daily News UK,thedailynewsuk.com,"satire, "
1535,The Daily Sheeple,thedailysheeple.com,"pseudoscience, conspiracy, bias, "
1536,The Daily Vox,thedailyvox.co.za,"left, "
1537,thedailywtf,thedailywtf.com,", satire, "
1538,The Diplomat Magazine,thediplomat.com,"least_biased, "
1539,The Duran,theduran.com,"questionable, unreliable, "
1540,theeconomiccollapseblog,theeconomiccollapseblog.com,", conspiracy, bias, "
1541,The Event Chronicle,theeventchronicle.com,"pseudoscience, conspiracy, junksci, clickbait, "
1542,theextinctionprotocol,theextinctionprotocol.com,", conspiracy, "
1543,The Federalist,thefederalist.com,"right, "
1544,thefederalistpapers,thefederalistpapers.org,", bias, conspiracy, "
1545,The Federalist Papers Project,thefederalistpapers.org,"questionable, "
1546,The Fifth Column,thefifthcolumnnews.com,"left_center, political, "
1547,The Fiscal Times,thefiscaltimes.com,"right_center, "
1548,The Forbidden Knowledge,theforbiddenknowledge.com,"pseudoscience, conspiracy, junksci, "
1549,The Free Patriot,thefreepatriot.org,"questionable, fake, bias, clickbait, "
1550,Freethought Project,thefreethoughtproject.com,"pseudoscience, unreliable, conspiracy, clickbait, "
1551,The Frisky,thefrisky.com,"left, "
1552,The Fucking News,thefuckingnews.com,"left, "
1553,The Gateway Pundit,thegatewaypundit.com,"questionable, bias, conspiracy, unreliable, "
1554,The Gazette (Cedar Rapids),thegazette.com,"right_center, "
1555,thegoldandoilguy.com/articles,thegoldandoilguy.com/articles,", unreliable, "
1556,GOD (Good Lord Above),thegoodlordabove.com,"satire, "
1557,TheGrio,thegrio.com,"left, "
1558,The Observer,theguardian.com/observer,"left_center, "
1559,The Guardian,theguardian.com/us,"left_center, "
1560,The Hard Times,thehardtimes.net,"satire, satire, "
1561,The Hill,thehill.com,"left_center, "
1562,The Horn News,thehornnews.com,"questionable, "
1563,The Humanist Magazine,thehumanist.com,"least_biased, "
1564,Institute for Humane Studies,theihs.org,"right_center, "
1565,theineptowl,theineptowl.com,", satire, "
1566,theinformedamerican,theinformedamerican.net,", unreliable, "
1567,The Intellectualist,theintellectualist.co,"left, "
1568,The Intercept,theintercept.com,"left_center, political, "
1569,The Internet Post,theinternetpost.net,"pseudoscience, fake news, fake, "
1570,The Jakarta Post,thejakartapost.com,"least_biased, "
1571,TheJournal.ie,thejournal.ie,"least_biased, "
1572,The Lapine,thelapine.ca,"satire, "
1573,The Last Great Stand,thelastgreatstand.com,"pseudoscience, fake, conspiracy, bias, "
1574,thelastlineofdefense,thelastlineofdefense.org,", parody site, satire, "
1575,The Resistance: The Last Line of Defense,thelastlineofdefense.org,"satire, "
1576,The Libertarian Republic,thelibertarianrepublic.com,"right_center, "
1577,The Liberty Beacon,thelibertybeacon.com,"pseudoscience, conspiracy, junksci, bias, "
1578,thelibertymill,thelibertymill.com,", unreliable, bias, conspiracy, "
1579,The Local (Norway),thelocal.no,"left_center, "
1580,themadisonmisnomer,themadisonmisnomer.com,", satire, "
1581,The Marshall Project,themarshallproject.org/#.qjbbuljBK,"least_biased, "
1582,The Militant,themilitant.com,"left, "
1583,The Mind Unleashed,themindunleashed.org,"pseudoscience, conspiracy, junksci, clickbait, "
1584,The Moderate Voice,themoderatevoice.com,"least_biased, "
1585,The Monthly (Australia),themonthly.com.au,"left_center, "
1586,themoralofthestory.us,themoralofthestory.us,", fake news, fake, "
1587,Moscow Times,themoscowtimes.com,"left_center, "
1588,themuslimissue.wordpress,themuslimissue.wordpress.com,", hate, conspiracy, "
1589,The Nation,thenation.com,"left, "
1590,The National (UAE),thenational.ae,"right_center, "
1591,thenationalmarijuananews,thenationalmarijuananews.com,", some fake stories, "
1592,thenet24h,thenet24h.com,", fake news, fake, "
1593,The New American,thenewamerican.com,"right, bias, "
1594,The New Civil Rights Movement,thenewcivilrightsmovement.com,"left, "
1595,The News (Mexico City),thenews.mx,"least_biased, "
1596,thenewsdoctors,thenewsdoctors.com,", bias, "
1597,The News Nerd,thenewsnerd.com,"satire, satire, "
1598,The News Tribune,thenewstribune.com,"left_center, "
1599,thenewyorkevening,thenewyorkevening.com,", imposter site, fake, "
1600,The Onion,theonion.com,"satire, satire, "
1601,The Oslo Times,theoslotimes.com,"left_center, "
1602,thephaser,thephaser.com,", conspiracy, "
1603,thepoke,thepoke.co.uk,", satire, "
1604,Political Insider,thepoliticalinsider.com,"right, some fake stories, conspiracy, bias, unreliable, "
